Date,Winner,Loser,WCharacter,LCharacter
4/12,KevinKryptonite,Mari,Garlic,Garlic
4/12,Mari,KevinKryptonite,Garlic,Garlic
4/12,KevinKryptonite,DoomMerky,Noodle,Pork
4/12,DoomMerky,KevinKryptonite,Pork,Garlic
4/12,KevinKryptonite,DoomMerky,Garlic,Pork
4/12,Mari,NamelessKing,Garlic,Onion
4/12,Mari,NamelessKing,Garlic,Onion
4/12,Savory Buns,Greasy Pizza,Garlic,Garlic
4/12,Savory Buns,Greasy Pizza,Garlic,Garlic
3/29,TableLOL,fredruary,Rice,Onion
3/29,TableLOL,fredruary,Rice,Onion
3/29,TableLOL,fredruary,Rice,Onion
3/29,fredruary,Hitaka,Onion,Onion
3/29,fredruary,Hitaka,Onion,Onion
3/29,fredruary,Hitaka,Onion,Rice
3/29,TableLOL,fredruary,Rice,Onion
3/29,TableLOL,fredruary,Rice,Onion
3/29,TableLOL,fredruary,Rice,Onion
3/29,fredruary,TableLOL,Onion,Rice
3/29,Hitaka,BlueIcyDasani,Rice,Garlic
3/29,BlueIcyDasani,Hitaka,Garlic,Rice
3/29,Hitaka,BlueIcyDasani,Rice,Garlic
3/29,Hitaka,BlueIcyDasani,Rice,Garlic
3/29,BlueIcyDasani,ESGR,Garlic,Beef
3/29,ESGR,BlueIcyDasani,Beef,Garlic
3/29,BlueIcyDasani,ESGR,Garlic,Beef
3/29,BlueIcyDasani,ESGR,Garlic,Beef
3/29,Hitaka,Inochi,Rice,Noodle
3/29,Inochi,Hitaka,Noodle,Rice
3/29,Hitaka,Inochi,Rice,Noodle
3/29,Inochi,Hitaka,Noodle,Rice
3/29,Hitaka,Inochi,Rice,Noodle
3/29,fredruary,Hitaka,Onion,Rice
3/29,fredruary,Hitaka,Onion,Rice
3/29,fredruary,Hitaka,Onion,Rice
3/29,TableLOL,ESGR,Rice,Beef
3/29,TableLOL,ESGR,Rice,Beef
3/29,TableLOL,ESGR,Rice,Beef
3/29,Inochi,witunfunnymat,Noodle,Garlic
3/29,Inochi,witunfunnymat,Noodle,Garlic
3/29,fredruary,BlueIcyDasani,Rice,Garlic
3/29,BlueIcyDasani,fredruary,Garlic,Rice
3/29,fredruary,BlueIcyDasani,Rice,Garlic
3/29,Mirdas,Savory Buns,Onion,Garlic
3/29,Mirdas,Savory Buns,Onion,Onion
3/29,Savory Buns,Mirdas,Onion,Onion
3/22,Hitaka,Cheese Eater,Rice,Beef
3/22,Cheese Eater,Hitaka,Beef,Rice
3/22,Hitaka,Cheese Eater,Rice,Beef
3/22,Hitaka,Cheese Eater,Rice,Beef
3/22,Cheese Eater,Hitaka,Beef,Rice
3/22,Hitaka,Cheese Eater,Rice,Beef
3/22,Hitaka,Cheese Eater,Rice,Beef
3/22,Hitaka,Cheese Eater,Rice,Beef
3/22,Hitaka,Juni,Rice,Noodle
3/22,Juni,Hitaka,Noodle,Rice
3/22,Hitaka,Juni,Rice,Noodle
3/22,Hitaka,Juni,Rice,Noodle
3/22,Juni,Friggis,Noodle,Onion
3/22,Friggis,Juni,Onion,Noodle
3/22,Friggis,Juni,Onion,Noodle
3/22,Juni,Friggis,Noodle,Onion
3/22,Juni,Friggis,Noodle,Onion
3/22,Cheese Eater,Inochi,Pork,Noodle
3/22,Cheese Eater,Inochi,Pork,Noodle
3/22,Inochi,Cheese Eater,Noodle,Pork
3/22,Cheese Eater,Inochi,Pork,Noodle
3/22,Inochi,Cheese Eater,Noodle,Pork
3/22,Cheese Eater,Hitaka,Beef,Rice
3/22,Hitaka,Cheese Eater,Rice,Beef
3/22,Cheese Eater,Hitaka,Beef,Pork
3/22,Cheese Eater,Hitaka,Beef,Rice
3/22,Inochi,Friggis,Noodle,Beef
3/22,Inochi,Friggis,Noodle,Onion
3/22,Samfuju101,Amaurie,Rice,Garlic
3/22,Samfuju101,Amaurie,Rice,Garlic
3/22,Hitaka,Samfuju101,Rice,Rice
3/22,Hitaka,Samfuju101,Rice,Rice
3/22,Hitaka,Latex Man,Rice,Onion
3/22,Hitaka,Latex Man,Rice,Onion
3/22,Latex Man,FRost506,Onion,Garlic
3/22,Latex Man,FRost506,Onion,Garlic
3/22,Cheese Eater,Juni,Beef,Noodle
3/22,Cheese Eater,Juni,Beef,Noodle
3/15,TableLOL,Savory Buns,Beef,Garlic
3/15,TableLOL,Savory Buns,Beef,Garlic
3/15,TableLOL,Savory Buns,Beef,Onion
3/15,Savory Buns,KevinKryptonite,Garlic,Garlic
3/15,Savory Buns,KevinKryptonite,Garlic,Garlic
3/15,Savory Buns,KevinKryptonite,Garlic,Garlic
3/15,KevinKryptonite,Savory Buns,Garlic,Garlic
3/15,KevinKryptonite,Savory Buns,Garlic,Garlic
3/15,TableLOL,KevinKryptonite,Garlic,Garlic
3/15,TableLOL,KevinKryptonite,Garlic,Garlic
3/15,TableLOL,KevinKryptonite,Garlic,Garlic
3/15,KevinKryptonite,TableLOL,Garlic,Garlic
3/15,Savory Buns,DoomMerky,Onion,Pork
3/15,Savory Buns,DoomMerky,Onion,Pork
3/15,Savory Buns,DoomMerky,Onion,Pork
3/15,DoomMerky,Ibrahdaiki,Pork,Onion
3/15,Ibrahdaiki,DoomMerky,Onion,Pork
3/15,DoomMerky,Ibrahdaiki,Pork,Onion
3/15,DoomMerky,Ibrahdaiki,Pork,Onion
3/15,Savory Buns,witunfunnymat,Rice,Garlic
3/15,Savory Buns,witunfunnymat,Rice,Garlic
3/15,Savory Buns,witunfunnymat,Rice,Garlic
3/15,KevinKryptonite,DoomMerky,Garlic,Pork
3/15,KevinKryptonite,DoomMerky,Garlic,Pork
3/15,KevinKryptonite,DoomMerky,Garlic,Pork
3/15,DoomMerky,KevinKryptonite,Pork,Garlic
3/15,DoomMerky,KevinKryptonite,Pork,Garlic
3/15,TableLOL,Savory Buns,Noodle,Pork
3/15,Savory Buns,TableLOL,Pork,Noodle
3/15,TableLOL,Savory Buns,Noodle,Garlic
3/15,TableLOL,Savory Buns,Noodle,Garlic
3/15,Ibradaiki,Samfuju101,Onion,Rice
3/15,Samfuju101,Ibradaiki,Rice,Onion
3/15,Ibradaiki,Samfuju101,Onion,Rice
3/15,KevinKryptonite,witunfunnymat,Garlic,Garlic
3/15,witunfunnymat,KevinKryptonite,Garlic,Garlic
3/15,KevinKryptonite,witunfunnymat,Garlic,Garlic
3/8,TableLOL,Askadoodle,Rice,Garlic
3/8,TableLOL,Askadoodle,Rice,Garlic
3/8,Askadoodle,TableLOL,Garlic,Rice
3/8,Askadoodle,TableLOL,Garlic,Rice
3/8,TableLOL,Askadoodle,Rice,Garlic
3/8,Askadoodle,fredruary,Garlic,Rice
3/8,Askadoodle,fredruary,Garlic,Onion
3/8,Askadoodle,fredruary,Garlic,Onion
3/8,TableLOL,fredruary,Rice,Onion
3/8,TableLOL,fredruary,Rice,Onion
3/8,fredruary,TableLOL,Onion,Rice
3/8,TableLOL,fredruary,Rice,Onion
3/8,fredruary,TableLOL,Onion,Rice
3/8,Askadoodle,Cheese Eater,Garlic,Pork
3/8,Askadoodle,Cheese Eater,Garlic,Pork
3/8,Askadoodle,Cheese Eater,Garlic,Pork
3/8,Cheese Eater,Meep,Pork,Garlic
3/8,Cheese Eater,Meep,Pork,Garlic
3/8,Meep,Cheese Eater,Garlic,Pork
3/8,Cheese Eater,Meep,Pork,Garlic
3/8,Askadoodle,Juni,Garlic,Onion
3/8,Askadoodle,Juni,Garlic,Onion
3/8,Askadoodle,Juni,Garlic,Noodle
3/8,Askadoodle,KevinKryptonite,Garlic,Garlic
3/8,Askadoodle,KevinKryptonite,Garlic,Garlic
3/8,KevinKryptonite,ESGR,Garlic,Beef
3/8,ESGR,KevinKryptonite,Beef,Garlic
3/8,KevinKryptonite,ESGR,Garlic,Beef
3/8,TableLOL,Meep,Rice,Garlic
3/8,Meep,TableLOL,Garlic,Rice
3/8,TableLOL,Meep,Rice,Garlic
3/8,TableLOL,Meep,Rice,Garlic
3/8,Meep,TableLOL,Garlic,Rice
3/8,fredruary,Juni,Onion,Onion
3/8,fredruary,Juni,Onion,Noodle
3/8,fredruary,Juni,Onion,Noodle
3/8,KevinKryptonite,JoRo,Garlic,Garlic
3/8,KevinKryptonite,JoRo,Garlic,Onion
