date,patch
2021/01/17,0.37.1
2021/01/17,0.37.0
2021/01/12,0.36.22
2021/01/11,0.36.21
2021/01/11,0.36.20
2021/01/11,0.36.19
2021/01/11,0.36.18
2021/01/10,0.36.17
2021/01/10,0.36.16
2021/01/09,0.36.15
2021/01/09,0.36.14
2021/01/08,0.36.13
2021/01/07,0.36.12
2021/01/07,0.36.11
2021/01/07,0.36.10
2021/01/07,0.36.9
2021/01/07,0.36.8
2021/01/07,0.36.7
2021/01/07,0.36.6
2021/01/07,0.36.5
2021/01/06,0.36.4
2021/01/06,0.36.3
2021/01/06,0.36.2
2021/01/06,0.36.1
2021/01/06,0.36.0
2021/01/05,0.35.28
2021/01/05,0.35.27
2021/01/05,0.35.26
2021/01/05,0.35.25
2021/01/05,0.35.24
2021/01/05,0.35.23
2021/01/05,0.35.22
2021/01/05,0.35.21
2021/01/05,0.35.20
2021/01/04,0.35.19
2021/01/04,0.35.18
2021/01/04,0.35.17
2021/01/04,0.35.16
2021/01/04,0.35.15
2021/01/04,0.35.14
2021/01/04,0.35.13
2021/01/03,0.35.12
2021/01/03,0.35.11
2021/01/03,0.35.10
2021/01/03,0.35.9
2021/01/03,0.35.8
2021/01/03,0.35.7
2021/01/03,0.35.6
2021/01/03,0.35.5
2021/01/02,0.35.4
2021/01/02,0.35.3
2021/01/02,0.35.2
2021/01/02,0.35.1
2021/01/02,0.35.0
2021/01/02,0.34.39
2021/01/02,0.34.38
2021/01/02,0.34.37
2021/01/01,0.34.36
2021/01/01,0.34.35
2021/01/01,0.34.34
2021/01/01,0.34.33
2021/01/01,0.34.32
2021/01/01,0.34.31
2020/12/31,0.34.30
2020/12/31,0.34.29
2020/12/31,0.34.28
2020/12/31,0.34.27
2020/12/31,0.34.26
2020/12/31,0.34.25
2020/12/30,0.34.24
2020/12/30,0.34.23
2020/12/30,0.34.22
2020/12/29,0.34.21
2020/12/29,0.34.20
2020/12/29,0.34.19
2020/12/28,0.34.18
2020/12/28,0.34.17
2020/12/28,0.34.16
2020/12/28,0.34.15
2020/12/27,0.34.14
2020/12/25,0.34.13
2020/12/25,0.34.12
2020/12/25,0.34.11
2020/12/24,0.34.10
2020/12/24,0.34.9
2020/12/24,0.34.8
2020/12/24,0.34.7
2020/12/23,0.34.6
2020/12/22,0.34.5
2020/12/22,0.34.4
2020/12/21,0.34.3
2020/12/21,0.34.2
2020/12/21,0.34.1
2020/12/20,0.34.0
2020/12/20,0.33.2
2020/12/19,0.33.1
2020/12/19,0.33.0
2020/12/17,0.32.29
2020/12/17,0.32.28
2020/12/14,0.32.27
2020/12/14,0.32.26
2020/12/13,0.32.25
2020/12/12,0.32.24
